u,g,r,i,z,gaia_g,bp,rp
17.1891,16.2125,15.888,15.7499,15.7336,15.8813,16.15947,15.43143
17.8607,16.8969,16.5347,16.4109,16.3736,16.5363,16.82124,16.09978
17.3655,16.3935,16.0422,15.9199,15.8493,16.03834,16.32475,15.5784
17.86755,16.73763,16.36213,16.21301,16.18582,16.36847,16.65676,15.89511
17.4673,16.4554,16.0935,15.9508,15.9259,16.092,16.38778,15.62345
16.6379,15.6374,15.2933,15.1547,15.1039,15.29034,15.57837,14.828
16.81798,15.886,15.54463,15.45205,15.44265,15.54001,15.80023,15.11767
17.6636,16.6968,16.4034,16.3148,16.3008,16.39728,16.65144,15.96981
16.5818,15.627,15.2917,15.1651,15.1208,15.2761,15.55395,14.82226
17.7713,16.8831,16.6286,16.5512,16.5325,16.61839,16.86138,16.21986
17.124,16.1477,15.8894,15.8049,15.7541,15.85476,16.11605,15.42581
17.7162,16.7614,16.4437,16.3336,16.2914,16.43769,16.71884,16.00715
18.2793,17.3534,17.04,17.0014,16.9778,17.06466,17.30837,16.66961
18.1392,17.1583,16.8369,16.7272,16.734,16.82688,17.09065,16.4124
17.3253,16.3734,16.0785,15.9705,15.9632,16.05976,16.30553,15.64503
17.2598,16.2903,15.9422,15.7967,15.725,15.92713,16.2231,15.45268
17.6534,16.7196,16.3889,16.2295,16.2013,16.36769,16.66101,15.90314
18.0702,17.126,16.7383,16.5982,16.5036,16.72629,17.03677,16.24911
17.6131,16.6714,16.3935,16.2938,16.2773,16.38453,16.6393,15.96866
17.9255,16.9995,16.7754,16.6496,16.6291,16.73244,16.98536,16.31333
16.5258,15.5647,15.2139,15.0955,15.1062,15.2182,15.50149,14.76444
17.5893,16.6222,16.3237,16.1994,16.1842,16.29701,16.56746,15.86247
16.2238,15.3154,14.9752,14.8531,14.825,14.97302,15.25505,14.51691
18.0236,17.1648,16.8626,16.7611,16.7019,16.8553,17.11499,16.42495
17.50521,16.48716,16.15062,16.01712,15.93042,16.14181,16.44831,15.65115
16.3825,15.4043,15.0594,14.9498,14.9371,15.06463,15.34056,14.61577
17.3448,16.3923,16.1634,16.0522,16.0323,16.13448,16.39321,15.72353
17.7849,16.8432,16.5643,16.4699,16.4435,16.5494,16.79069,16.13666
16.6748,15.8339,15.5599,15.462,15.4897,15.52962,15.76006,15.14149
16.40455,15.50081,15.24627,15.21415,15.19129,15.26085,15.50295,14.85733
17.6469,16.7023,16.3988,16.3187,16.2477,16.3943,16.67418,15.93643
